panjang badan,-3 SD,-2 SD,-1 SD,Median,+1 SD,+2 SD,+3 SD
45.0,1.9,2.0,2.2,2.4,2.7,3.0,3.3
45.1,1.9,2.0,2.2,2.4,2.7,3.0,3.3
45.2,1.9,2.0,2.2,2.4,2.7,3.0,3.3
45.3,1.9,2.0,2.2,2.4,2.7,3.0,3.3
45.4,1.9,2.0,2.2,2.4,2.7,3.0,3.3
45.5,1.9,2.1,2.3,2.5,2.8,3.1,3.4
45.6,1.9,2.1,2.3,2.5,2.8,3.1,3.4
45.7,1.9,2.1,2.3,2.5,2.8,3.1,3.4
45.8,1.9,2.1,2.3,2.5,2.8,3.1,3.4
45.9,1.9,2.1,2.3,2.5,2.8,3.1,3.4
46.0,2.0,2.2,2.4,2.6,2.9,3.1,3.5
46.1,2.0,2.2,2.4,2.6,2.9,3.1,3.5
46.2,2.0,2.2,2.4,2.6,2.9,3.1,3.5
46.3,2.0,2.2,2.4,2.6,2.9,3.1,3.5
46.4,2.0,2.2,2.4,2.6,2.9,3.1,3.5
46.5,2.1,2.3,2.5,2.7,3.0,3.2,3.6
46.6,2.1,2.3,2.5,2.7,3.0,3.2,3.6
46.7,2.1,2.3,2.5,2.7,3.0,3.2,3.6
46.8,2.1,2.3,2.5,2.7,3.0,3.2,3.6
46.9,2.1,2.3,2.5,2.7,3.0,3.2,3.6
47.0,2.1,2.3,2.5,2.8,3.0,3.3,3.7
47.1,2.1,2.3,2.5,2.8,3.0,3.3,3.7
47.2,2.1,2.3,2.5,2.8,3.0,3.3,3.7
47.3,2.1,2.3,2.5,2.8,3.0,3.3,3.7
47.4,2.1,2.3,2.5,2.8,3.0,3.3,3.7
47.5,2.2,2.4,2.6,2.9,3.1,3.4,3.8
47.6,2.2,2.4,2.6,2.9,3.1,3.4,3.8
47.7,2.2,2.4,2.6,2.9,3.1,3.4,3.8
47.8,2.2,2.4,2.6,2.9,3.1,3.4,3.8
47.9,2.2,2.4,2.6,2.9,3.1,3.4,3.8
48.0,2.3,2.5,2.7,2.9,3.2,3.6,3.9
48.1,2.3,2.5,2.7,2.9,3.2,3.6,3.9
48.2,2.3,2.5,2.7,2.9,3.2,3.6,3.9
48.3,2.3,2.5,2.7,2.9,3.2,3.6,3.9
48.4,2.3,2.5,2.7,2.9,3.2,3.6,3.9
